states_msa_code,states_msa,states_msa_full,geoid_msa,name_msa,cases,deaths,group
18,IN,IN,27540,Jasper,19,0,2020-05-02
18,IN,IN,18220,Connersville,23,0,2020-05-02
19,IA,IA,35500,Newton,83,7,2020-05-02
19,IA,IA-NE-SD,43580,Sioux City,1411,10,2020-05-02
19,IA,IA-NE,36540,Omaha-Council Bluffs,930,3,2020-05-02
19,IA,IA,20220,Dubuque,79,2,2020-05-02
19,IA,IA,34700,Muscatine,125,3,2020-05-02
19,IA,IA,44020,Spirit Lake,0,0,2020-05-02
19,IA,IA,17540,Clinton,6,0,2020-05-02
19,IA,IA,44740,Storm Lake,27,0,2020-05-02
19,IA,IA,36900,Ottumwa,203,0,2020-05-02
19,IA,IA,36820,Oskaloosa,6,0,2020-05-02
19,IA,IA,21840,Fairfield,0,0,2020-05-02
19,IA,IA,14340,Boone,19,0,2020-05-02
19,IA,IA,19780,Des Moines-West Des Moines,1310,26,2020-05-02
19,IA,IA,32260,Marshalltown,202,1,2020-05-02
19,IA,IA,32380,Mason City,1,0,2020-05-02
19,IA,IA,16300,Cedar Rapids,159,13,2020-05-02
19,IA,IA,11180,Ames,24,0,2020-05-02
19,IA,IA,26980,Iowa City,86,1,2020-05-02
19,IA,IA,22700,Fort Dodge,4,0,2020-05-02
19,IA,IA,43980,Spencer,5,0,2020-05-02
20,KS,KS,25700,Hays,1,0,2020-05-02
20,KS,KS-MO,28140,Kansas City,1132,25,2020-05-02
20,KS,KS,48620,Wichita,53,8,2020-05-02
20,KS,KS,29940,Lawrence,5,0,2020-05-02
20,KS,KS-MO,41140,St. Joseph,301,2,2020-05-02
20,KS,KS,37660,Parsons,0,0,2020-05-02
20,KS,KS,23780,Garden City,527,3,2020-05-02
20,KS,KS,36840,Ottawa,6,0,2020-05-02
20,KS,KS,24460,Great Bend,10,1,2020-05-02
20,KS,KS,11860,Atchison,2,0,2020-05-02
20,KS,KS,11680,Arkansas City-Winfield,0,0,2020-05-02
20,KS,KS,30580,Liberal,167,0,2020-05-02
20,KS,KS,38260,Pittsburg,0,0,2020-05-02
20,KS,KS,45820,Topeka,48,0,2020-05-02
20,KS,KS,41460,Salina,2,0,2020-05-02
20,KS,KS,21380,Emporia,108,1,2020-05-02
20,KS,KS,32700,McPherson,3,0,2020-05-02
20,KS,KS,19980,Dodge City,362,2,2020-05-02
20,KS,KS,26740,Hutchinson,20,0,2020-05-02
20,KS,KS,31740,Manhattan,14,0,2020-05-02
20,KS,KS,27920,Junction City,3,0,2020-05-02
20,KS,KS,17700,Coffeyville,4,0,2020-05-02
21,KY,KY,34660,Murray,3,0,2020-05-02
21,KY,KY,30460,Lexington-Fayette,142,0,2020-05-02
21,KY,KY,30940,London,8,0,2020-05-02
21,KY,KY,43700,Somerset,6,1,2020-05-02
21,KY,KY,40080,Richmond-Berea,7,0,2020-05-02
21,KY,KY,31580,Madisonville,13,2,2020-05-02
21,KY,KY,23980,Glasgow,12,0,2020-05-02
21,KY,KY-WV-OH,26580,Huntington-Ashland,78,17,2020-05-02
21,KY,KY,36980,Owensboro,75,0,2020-05-02
21,KY,KY,34460,Mount Sterling,1,0,2020-05-02
21,KY,KY,32500,Maysville,1,0,2020-05-02
21,KY,KY,32460,Mayfield,12,4,2020-05-02
21,KY,KY,14540,Bowling Green,270,9,2020-05-02
21,KY,KY,12680,Bardstown,7,0,2020-05-02
21,KY,KY,15820,Campbellsville,1,0,2020-05-02
21,KY,KY,21060,Elizabethtown-Fort Knox,24,3,2020-05-02
21,KY,KY-TN,17300,Clarksville,31,0,2020-05-02
21,KY,KY-TN,46460,Union City,4,0,2020-05-02
22,LA,LA,10780,Alexandria,98,2,2020-05-02
22,LA,LA,35380,New Orleans-Metairie,844,90,2020-05-02
22,LA,LA,40820,Ruston,21,3,2020-05-02
22,LA,LA,43340,Shreveport-Bossier City,211,21,2020-05-02
22,LA,LA-MS,35020,Natchez,15,4,2020-05-02
22,LA,LA,26380,Houma-Thibodaux,118,14,2020-05-02
22,LA,LA,25220,Hammond,87,4,2020-05-02
22,LA,LA,22860,Fort Polk South,2,0,2020-05-02
22,LA,LA,12820,Bastrop,8,1,2020-05-02
22,LA,LA,12940,Baton Rouge,613,71,2020-05-02
22,LA,LA,34020,Morgan City,49,3,2020-05-02
22,LA,LA,29340,Lake Charles,53,9,2020-05-02
22,LA,LA,33740,Monroe,143,6,2020-05-02
22,LA,LA,29180,Lafayette,97,13,2020-05-02
22,LA,LA,36660,Opelousas,30,5,2020-05-02
22,LA,LA,14220,Bogalusa,62,5,2020-05-02
22,LA,LA,35060,Natchitoches,12,5,2020-05-02
22,LA,LA,19760,DeRidder,4,1,2020-05-02
